masked_text,relation_type
BCAAs promote @Species$ resistance to induce @Disease$,None
"Patients with obesity had increased BCAAs that contribute to the development of @Disease$. In fact, it is controversial about the mechanism of BCAAs-related insulin resistance. Insulin resistance induced by high-fat and supplemental BCAAs feeding was accompanied by chronic phosphorylation of mammalian target of rapamycin (mTOR), c-Jun N-terminal kinases (JNK), and insulin receptor substrate (IRS)1 Ser307. BCAAs inhibit white fat browning and promote obesity-related metabolic disorders. Some studies have suggested that the role of BCAAs is related to mammalian target of rapamycin complex 1 (mTORC1). And BCAAs are potent mTORC1 agonists, and a lifelong BCAAs-restricted diet downregulates mTORC1 signaling, reduces frailty, and prolongs lifespan in wild-type male @Species$. Nevertheless, another study found that the metabolic effects of a low BCAAs diet did not require inhibiting the expression and activity of hepatic mTORC1.",None
"Patients with obesity had increased BCAAs that contribute to the development of obesity-associated insulin resistance. In fact, it is controversial about the mechanism of BCAAs-related insulin resistance. Insulin resistance induced by high-fat and supplemental BCAAs feeding was accompanied by chronic phosphorylation of mammalian target of rapamycin (mTOR), @Species$ (JNK), and insulin receptor substrate (IRS)1 @Chemical$. BCAAs inhibit white fat browning and promote obesity-related metabolic disorders. Some studies have suggested that the role of BCAAs is related to mammalian target of rapamycin complex 1 (mTORC1). And BCAAs are potent mTORC1 agonists, and a lifelong BCAAs-restricted diet downregulates mTORC1 signaling, reduces frailty, and prolongs lifespan in wild-type male mice. Nevertheless, another study found that the metabolic effects of a low BCAAs diet did not require inhibiting the expression and activity of hepatic mTORC1.",None
"Patients with obesity had increased BCAAs that contribute to the development of obesity-associated insulin resistance. In fact, it is controversial about the mechanism of BCAAs-related insulin resistance. Insulin resistance induced by high-fat and supplemental BCAAs feeding was accompanied by chronic phosphorylation of mammalian target of rapamycin (mTOR), c-Jun N-terminal kinases (JNK), and @Species$ Ser307. BCAAs inhibit white fat browning and promote obesity-related metabolic disorders. Some studies have suggested that the role of BCAAs is related to mammalian target of rapamycin complex 1 (mTORC1). And BCAAs are potent mTORC1 agonists, and a lifelong @Chemical$-restricted diet downregulates mTORC1 signaling, reduces frailty, and prolongs lifespan in wild-type male mice. Nevertheless, another study found that the metabolic effects of a low BCAAs diet did not require inhibiting the expression and activity of hepatic mTORC1.",None
"Patients with obesity had increased BCAAs that contribute to the development of obesity-associated insulin resistance. In fact, it is controversial about the mechanism of BCAAs-related insulin resistance. Insulin resistance induced by high-fat and supplemental BCAAs feeding was accompanied by chronic phosphorylation of mammalian target of rapamycin (@Species$), c-Jun N-terminal kinases (JNK), and insulin receptor substrate (IRS)1 Ser307. BCAAs inhibit white fat browning and promote obesity-related metabolic disorders. Some studies have suggested that the role of @Chemical$ is related to mammalian target of rapamycin complex 1 (mTORC1). And BCAAs are potent mTORC1 agonists, and a lifelong BCAAs-restricted diet downregulates mTORC1 signaling, reduces frailty, and prolongs lifespan in wild-type male mice. Nevertheless, another study found that the metabolic effects of a low BCAAs diet did not require inhibiting the expression and activity of hepatic mTORC1.",None
"In addition to the clear relationship between gut microbiota and the occurrence of obesity, gut microbiota has also been associated with the development and prognosis in patients with diabetes. Diabetes are associated with a relative or absolute insufficiency of insulin, or insulin resistance, which results in metabolic disturbance of carbohydrates, @Chemical$, and proteins. In China, the number of diabetic patients has reached 114 million, accounting for 1/3 of the total number of diabetic @Species$ all around the world. Type 2 diabetes (T2D) accounts for more than 95% of the total diabetes population. Recently, researchers have pointed out that gut microbiota may play an important role in the occurrence and development of T2D. Thus, exploring the relationship between gut microbiota and T2D may provide new ideas for clinical research and treatment.",None
"In addition to the clear relationship between gut microbiota and the occurrence of obesity, @Species$ has also been associated with the development and prognosis in patients with diabetes. @Disease$ are associated with a relative or absolute insufficiency of insulin, or insulin resistance, which results in metabolic disturbance of carbohydrates, lipids, and proteins. In China, the number of diabetic patients has reached 114 million, accounting for 1/3 of the total number of diabetic patients all around the world. Type 2 diabetes (T2D) accounts for more than 95% of the total diabetes population. Recently, researchers have pointed out that gut microbiota may play an important role in the occurrence and development of T2D. Thus, exploring the relationship between gut microbiota and T2D may provide new ideas for clinical research and treatment.",None
"In addition to the clear relationship between gut microbiota and the occurrence of obesity, @Species$ has also been associated with the development and prognosis in patients with diabetes. Diabetes are associated with a relative or absolute insufficiency of insulin, or insulin resistance, which results in metabolic disturbance of carbohydrates, lipids, and proteins. In China, the number of diabetic patients has reached 114 million, accounting for 1/3 of the total number of diabetic patients all around the world. Type 2 diabetes (@Disease$) accounts for more than 95% of the total diabetes population. Recently, researchers have pointed out that gut microbiota may play an important role in the occurrence and development of T2D. Thus, exploring the relationship between gut microbiota and T2D may provide new ideas for clinical research and treatment.",None
"In addition to the clear relationship between gut microbiota and the occurrence of obesity, gut microbiota has also been associated with the development and prognosis in patients with @Disease$. Diabetes are associated with a relative or absolute insufficiency of insulin, or insulin resistance, which results in metabolic disturbance of carbohydrates, lipids, and proteins. In China, the number of diabetic patients has reached 114 million, accounting for 1/3 of the total number of diabetic patients all around the world. Type 2 diabetes (T2D) accounts for more than 95% of the total diabetes population. Recently, researchers have pointed out that gut microbiota may play an important role in the occurrence and development of @Disease$. Thus, exploring the relationship between gut microbiota and T2D may provide new ideas for clinical research and treatment.",None
The @Disease$ of gut microbiota in @Disease$,None
The @Disease$ of @Species$ in diabetes,None
"The changes in microbiota and the increased abundance of facultative pathogens are already present in patients with new-onset diabetes, suggesting that microbiome instability is associated with cardiovascular risk factors. Bacteroidetes are detected in @Species$ genetically predisposed to type 1 diabetes (T1D). Regarding T2D, patients were characterized by a decrease in several butyrate-producing bacteria and an increase in many opportunistic pathogens. For example, patients with T2D have reduced Clostridium butyricum in the @Cellline$, a main butyrate-producing bacteria. Lower concentrations of butyrate producing microbiota have been observed in fecal samples of patients with T2D. Moreover, Lactobacillus is positively correlated with fasting blood glucose and glycated hemoglobin levels, while Clostridium is negatively correlated with fasting blood glucose and glycated hemoglobin levels. Patients with T2D have significantly higher levels of Lactobacillus in fecal samples than healthy individuals. These data suggest a strong association between gut microbial dysbiosis and the pathology of diabetes.",None
"The changes in microbiota and the increased abundance of facultative pathogens are already present in patients with new-onset diabetes, suggesting that microbiome instability is associated with cardiovascular risk factors. Bacteroidetes are detected in children genetically predisposed to type 1 diabetes (T1D). Regarding @Disease$, patients were characterized by a decrease in several butyrate-producing bacteria and an increase in many opportunistic pathogens. For example, patients with T2D have reduced Clostridium butyricum in the gut, a main @Species$. Lower concentrations of butyrate producing microbiota have been observed in fecal samples of patients with T2D. Moreover, Lactobacillus is positively correlated with fasting blood glucose and glycated hemoglobin levels, while Clostridium is negatively correlated with fasting blood glucose and glycated hemoglobin levels. Patients with T2D have significantly higher levels of Lactobacillus in fecal samples than healthy individuals. These data suggest a strong association between gut microbial dysbiosis and the pathology of diabetes.",None
"The changes in microbiota and the increased abundance of facultative pathogens are already present in @Species$ with new-onset diabetes, suggesting that microbiome instability is associated with cardiovascular risk factors. Bacteroidetes are detected in children genetically predisposed to type 1 diabetes (T1D). Regarding @Disease$, patients were characterized by a decrease in several butyrate-producing bacteria and an increase in many opportunistic pathogens. For example, patients with T2D have reduced Clostridium butyricum in the gut, a main butyrate-producing bacteria. Lower concentrations of butyrate producing microbiota have been observed in fecal samples of patients with T2D. Moreover, Lactobacillus is positively correlated with fasting blood glucose and glycated hemoglobin levels, while Clostridium is negatively correlated with fasting blood glucose and glycated hemoglobin levels. Patients with T2D have significantly higher levels of Lactobacillus in fecal samples than healthy individuals. These data suggest a strong association between gut microbial dysbiosis and the pathology of diabetes.",None
"The changes in microbiota and the increased abundance of facultative pathogens are already present in patients with new-onset diabetes, suggesting that microbiome instability is associated with cardiovascular risk factors. Bacteroidetes are detected in children genetically predisposed to type 1 diabetes (T1D). Regarding T2D, patients were characterized by a decrease in several butyrate-producing bacteria and an increase in many opportunistic pathogens. For example, patients with @Disease$ have reduced Clostridium butyricum in the gut, a main butyrate-producing bacteria. Lower concentrations of @Species$ have been observed in fecal samples of patients with T2D. Moreover, Lactobacillus is positively correlated with fasting blood glucose and glycated hemoglobin levels, while Clostridium is negatively correlated with fasting blood glucose and glycated hemoglobin levels. Patients with T2D have significantly higher levels of Lactobacillus in fecal samples than healthy individuals. These data suggest a strong association between gut microbial dysbiosis and the pathology of diabetes.",None
"Multiple metabolites including SCFAs, BAs, and BCAAs, have been postulated to link the potential association between altered gut microbiota and T2D. Specific species such as Faecalibacterium prausnitzii have been observed to produce anti-inflammatory cytokines and chemokines, thus alleviating inflammation and increasing @Species$ sensitivity. And some intestinal bacteria from other genera have been reported to produce pro-inflammatory cytokines, which may increase the development of insulin resistance. In short, the dysbiosis of gut microbiota would lead to the damaged function of beta-cell and islet chronic inflammatory response by changing the component of SCFAs, BCAAs, and BAs, thereby affecting glucose and fat metabolism, eventually leading to the occurrence of @Disease$.",None
"Multiple metabolites including SCFAs, BAs, and BCAAs, have been postulated to link the potential association between altered gut microbiota and @Disease$. Specific species such as Faecalibacterium prausnitzii have been observed to produce anti-inflammatory cytokines and chemokines, thus alleviating inflammation and increasing insulin sensitivity. And some intestinal bacteria from other genera have been reported to produce pro-inflammatory cytokines, which may increase the development of @Disease$. In short, the dysbiosis of gut microbiota would lead to the damaged function of beta-cell and islet chronic inflammatory response by changing the component of SCFAs, BCAAs, and BAs, thereby affecting glucose and fat metabolism, eventually leading to the occurrence of diabetes.",None
"Multiple metabolites including SCFAs, BAs, and BCAAs, have been postulated to link the potential association between altered gut microbiota and T2D. Specific species such as Faecalibacterium prausnitzii have been observed to produce anti-inflammatory cytokines and chemokines, thus alleviating @Disease$ and increasing insulin sensitivity. And some @Species$ from other genera have been reported to produce pro-inflammatory cytokines, which may increase the development of insulin resistance. In short, the dysbiosis of gut microbiota would lead to the damaged function of beta-cell and islet chronic inflammatory response by changing the component of SCFAs, BCAAs, and BAs, thereby affecting glucose and fat metabolism, eventually leading to the occurrence of diabetes.",None
@Chemical$ regulate @Disease$ to affect diabetes,None
@Chemical$ regulate glucose metabolism to affect @Disease$,None
"Insufficient dietary fiber intake is considered to be an important risk factor for diabetes. The decrease in the production of SCFAs counts for an important reason here. Modulation of dietary SCFAs is thought to reshape the gut microbiota in diabetes and ameliorate diabetes. SCFAs increase fatty acid oxidation and energy expenditure to decrease the risk of suffering from T2D. Of note, T2D patients have lower levels of butyrate-generating bacteria. Butyrate could promote the secretion of postprandial insulin; and the increase in fecal propionic acid was associated with an increase in T2D risk. In oral glucose tolerance test, a high butyrate-producing microbiota was associated with an improved insulin response (indicating improved @Cellline$ function), and butyrate concentration was directly related to postprandial insulin sensitivity. Besides, in signal transduction regulation, butyrate could also inhibit HDAC expression in juvenile diabetic rats to modulate the @Species$ signaling pathway, which ultimately prevents beta-cell apoptosis and improves glucose homeostasis.",None
"Insufficient dietary fiber intake is considered to be an important risk factor for diabetes. The decrease in the production of SCFAs counts for an important reason here. Modulation of dietary SCFAs is thought to reshape the gut microbiota in diabetes and ameliorate diabetes. SCFAs increase fatty acid oxidation and energy expenditure to decrease the risk of suffering from T2D. Of note, T2D patients have lower levels of butyrate-generating bacteria. Butyrate could promote the secretion of @Species$; and the increase in fecal propionic acid was associated with an increase in T2D risk. In oral glucose tolerance test, a high butyrate-producing microbiota was associated with an improved @Species$ response (indicating improved beta-cell function), and butyrate concentration was directly related to postprandial insulin sensitivity. Besides, in signal transduction regulation, butyrate could also inhibit HDAC expression in juvenile diabetic rats to modulate the p38/ERK/MAPK signaling pathway, which ultimately prevents beta-cell apoptosis and improves glucose homeostasis.",None
"Insufficient dietary fiber intake is considered to be an important risk factor for diabetes. The decrease in the production of SCFAs counts for an important reason here. Modulation of dietary SCFAs is thought to reshape the gut microbiota in diabetes and ameliorate diabetes. SCFAs increase fatty acid oxidation and energy expenditure to decrease the risk of suffering from @Disease$. Of note, T2D patients have lower levels of butyrate-generating bacteria. Butyrate could promote the secretion of postprandial insulin; and the increase in fecal propionic acid was associated with an increase in T2D risk. In oral @Chemical$ tolerance test, a high butyrate-producing microbiota was associated with an improved insulin response (indicating improved beta-cell function), and butyrate concentration was directly related to postprandial insulin sensitivity. Besides, in signal transduction regulation, butyrate could also inhibit HDAC expression in juvenile diabetic rats to modulate the p38/ERK/MAPK signaling pathway, which ultimately prevents beta-cell apoptosis and improves glucose homeostasis.",None
"Insufficient dietary fiber intake is considered to be an important risk factor for diabetes. The decrease in the production of SCFAs counts for an important reason here. Modulation of dietary SCFAs is thought to reshape the @Species$ in diabetes and ameliorate diabetes. SCFAs increase fatty acid oxidation and energy expenditure to decrease the risk of suffering from T2D. Of note, T2D patients have lower levels of butyrate-generating bacteria. Butyrate could promote the secretion of postprandial insulin; and the increase in fecal propionic acid was associated with an increase in T2D risk. In oral glucose tolerance test, a high butyrate-producing microbiota was associated with an improved insulin response (indicating improved beta-cell function), and butyrate concentration was directly related to @Species$ sensitivity. Besides, in signal transduction regulation, butyrate could also inhibit HDAC expression in juvenile diabetic rats to modulate the p38/ERK/MAPK signaling pathway, which ultimately prevents beta-cell apoptosis and improves glucose homeostasis.",None
"BAs are steroid carboxylic acids mainly derived from @Chemical$ through the action of CYP7A1, and their main function is to digest and absorb lipids and fat-soluble vitamins in the small intestine. The gut microbiota can also affect health by modulating the metabolic levels of total BAs, DCA and LCA, either by metabolizing bile salts or modulating downstream signaling pathways of BAs. Most gut microbiota have BSH activity. For example, Firmicutes have @Species$, which most intestinal microorganisms do not have. Bacteroides can oxidize, epimerize and esterify BAs at the same time.",None
"BAs are steroid carboxylic acids mainly derived from cholesterol through the action of CYP7A1, and their main function is to digest and absorb lipids and fat-soluble vitamins in the small intestine. The @Species$ can also affect health by modulating the metabolic levels of total BAs, DCA and LCA, either by metabolizing bile salts or modulating downstream signaling pathways of BAs. Most gut microbiota have BSH activity. For example, @Species$ have CYP7A1, which most intestinal microorganisms do not have. Bacteroides can oxidize, epimerize and esterify BAs at the same time.",None
"BAs are steroid carboxylic acids mainly derived from cholesterol through the action of CYP7A1, and their main function is to digest and absorb lipids and @Chemical$ in the small intestine. The gut microbiota can also affect health by modulating the metabolic levels of total BAs, DCA and LCA, either by metabolizing bile salts or modulating downstream signaling pathways of BAs. Most @Species$ have BSH activity. For example, Firmicutes have CYP7A1, which most intestinal microorganisms do not have. Bacteroides can oxidize, epimerize and esterify BAs at the same time.",None
"The gut microbiota can affect the occurrence of diabetes by affecting the composition and metabolism of BAs, as well as their binding to FXR and TGR5 receptors. An excess of secondary BAs produced by dysregulated gut microbiota can stimulate @Cellline$ to secrete a large amount of serotonin, thereby increasing @Disease$ levels. In patients with diabetes, changes in gut microbiota composition may alter the ratio of primary BAs to secondary BAs. However, from the impaired fasting glucose level to impaired glucose tolerance, and finally to T2D, the specific changes in gut microbiota and BAs pools at different stages of this process have not been fully studied.",None
"The gut microbiota can affect the occurrence of diabetes by affecting the composition and metabolism of BAs, as well as their binding to FXR and TGR5 receptors. An excess of secondary BAs produced by dysregulated gut microbiota can stimulate intestinal parietal cells to secrete a large amount of serotonin, thereby increasing blood glucose levels. In @Species$ with diabetes, changes in gut microbiota composition may alter the ratio of primary BAs to secondary BAs. However, from the impaired fasting glucose level to @Disease$, and finally to T2D, the specific changes in gut microbiota and BAs pools at different stages of this process have not been fully studied.",None
"The gut microbiota can affect the occurrence of diabetes by affecting the composition and metabolism of BAs, as well as their binding to FXR and TGR5 receptors. An excess of secondary BAs produced by dysregulated gut microbiota can stimulate intestinal parietal cells to secrete a large amount of serotonin, thereby increasing @Disease$ levels. In patients with diabetes, changes in @Species$ composition may alter the ratio of primary BAs to secondary BAs. However, from the impaired fasting glucose level to impaired glucose tolerance, and finally to T2D, the specific changes in gut microbiota and BAs pools at different stages of this process have not been fully studied.",None
"The gut microbiota can affect the occurrence of diabetes by affecting the composition and metabolism of @Chemical$, as well as their binding to FXR and @Species$ receptors. An excess of secondary BAs produced by dysregulated gut microbiota can stimulate intestinal parietal cells to secrete a large amount of serotonin, thereby increasing blood glucose levels. In patients with diabetes, changes in gut microbiota composition may alter the ratio of primary BAs to secondary BAs. However, from the impaired fasting glucose level to impaired glucose tolerance, and finally to T2D, the specific changes in gut microbiota and BAs pools at different stages of this process have not been fully studied.",None
"Previous results have indicated that the metabolic regulation of BAs may be associated with T2D but the specific changes in BAs and the related mechanisms remain to be studied. It is also unclear how the different types of BAs change in patients with T2D. A study also suggested that patients with T2D had no change in plasma total BAs, but had an increase in DCA and a decrease in CDCA in plasma. Another study found that the plasma total BA concentration in patients with T2D was not significantly different from that of healthy people; however, the concentration of DCA in the plasma of patients with T2D was significantly higher than that of healthy controls. The mechanism may be that FXR and TGR5 are inhibited during insulin resistance, and the most effective natural ligands of the receptors, DCA and CA, are compensatorily increased. Besides, circulating BAs levels including DCA, TCA, TDCA, and glycodeoxycholic acid, are positively associated with the risk of T2D, while taurohyodeoxycholic acid is negatively associated with diabetes. This may be due to the fact that hydrophobic BAs isoforms (such as DCA) have been shown to be involved in @Disease$ and @Disease$, and hydrophilic BAs isoforms (such as tauroursodeoxycholic acid) have been shown to prevent inflammation and enhance insulin sensitivity.",None
"Previous results have indicated that the metabolic regulation of BAs may be associated with T2D but the specific changes in BAs and the related mechanisms remain to be studied. It is also unclear how the different types of BAs change in patients with T2D. A study also suggested that patients with T2D had no change in plasma total BAs, but had an increase in DCA and a decrease in CDCA in plasma. Another study found that the plasma total BA concentration in patients with @Disease$ was not significantly different from that of healthy people; however, the concentration of DCA in the plasma of patients with T2D was significantly higher than that of healthy controls. The mechanism may be that FXR and TGR5 are inhibited during insulin resistance, and the most effective natural ligands of the receptors, DCA and CA, are compensatorily increased. Besides, circulating BAs levels including DCA, TCA, TDCA, and glycodeoxycholic acid, are positively associated with the risk of T2D, while taurohyodeoxycholic acid is negatively associated with diabetes. This may be due to the fact that @Chemical$ (such as DCA) have been shown to be involved in inflammation and endoplasmic reticulum stress with glucose dysregulation, and hydrophilic BAs isoforms (such as tauroursodeoxycholic acid) have been shown to prevent inflammation and enhance insulin sensitivity.",None
"Previous results have indicated that the metabolic regulation of BAs may be associated with T2D but the specific changes in BAs and the related mechanisms remain to be studied. It is also unclear how the different types of BAs change in patients with T2D. A study also suggested that patients with T2D had no change in plasma total BAs, but had an increase in DCA and a decrease in CDCA in plasma. Another study found that the plasma total BA concentration in patients with T2D was not significantly different from that of healthy people; however, the concentration of DCA in the plasma of patients with T2D was significantly higher than that of healthy controls. The mechanism may be that FXR and @Species$ are inhibited during insulin resistance, and the most effective natural ligands of the receptors, DCA and CA, are compensatorily increased. Besides, circulating BAs levels including DCA, TCA, TDCA, and glycodeoxycholic acid, are positively associated with the risk of T2D, while taurohyodeoxycholic acid is negatively associated with diabetes. This may be due to the fact that hydrophobic BAs isoforms (such as @Chemical$) have been shown to be involved in inflammation and endoplasmic reticulum stress with glucose dysregulation, and hydrophilic BAs isoforms (such as tauroursodeoxycholic acid) have been shown to prevent inflammation and enhance insulin sensitivity.",None
"Previous results have indicated that the metabolic regulation of BAs may be associated with T2D but the specific changes in BAs and the related mechanisms remain to be studied. It is also unclear how the different types of BAs change in patients with T2D. A study also suggested that patients with T2D had no change in plasma total BAs, but had an increase in DCA and a decrease in CDCA in plasma. Another study found that the plasma total BA concentration in patients with T2D was not significantly different from that of healthy people; however, the concentration of DCA in the plasma of patients with T2D was significantly higher than that of healthy controls. The mechanism may be that FXR and TGR5 are inhibited during insulin resistance, and the most effective natural ligands of the receptors, DCA and CA, are compensatorily increased. Besides, circulating BAs levels including @Chemical$, TCA, TDCA, and glycodeoxycholic acid, are positively associated with the risk of T2D, while @Chemical$ is negatively associated with diabetes. This may be due to the fact that hydrophobic BAs isoforms (such as DCA) have been shown to be involved in inflammation and endoplasmic reticulum stress with glucose dysregulation, and hydrophilic BAs isoforms (such as tauroursodeoxycholic acid) have been shown to prevent inflammation and enhance insulin sensitivity.",None
"Nevertheless, the role of FXR in diabetes is controversial. Although study has reported that upregulating @Species$ in diabetic mice can significantly improve hypercholesterolemia, other study found that inhibition of intestinal FXR can reduce hepatic gluconeogenesis, promote the secretion of GLP-1, and reduce body weight. Therefore, whether upregulating or inhibiting FXR signaling is an innovative approach in the control of @Disease$ in patients with T2D needs further research.",None
"Nevertheless, the role of FXR in diabetes is controversial. Although study has reported that upregulating FXR in diabetic mice can significantly improve hypercholesterolemia, other study found that inhibition of intestinal FXR can reduce hepatic gluconeogenesis, promote the secretion of @Disease$, and reduce body weight. Therefore, whether upregulating or inhibiting FXR signaling is an innovative approach in the control of blood glucose in patients with @Disease$ needs further research.",None
"Nevertheless, the role of FXR in diabetes is controversial. Although study has reported that upregulating FXR in diabetic mice can significantly improve hypercholesterolemia, other study found that inhibition of @Cellline$ FXR can reduce hepatic gluconeogenesis, promote the secretion of GLP-1, and reduce body weight. Therefore, whether upregulating or inhibiting FXR signaling is an innovative approach in the control of blood glucose in @Species$ with T2D needs further research.",None
