original_text,annotation_id,from_entity,to_entity,from_entity_name,from_entity_start,from_entity_end,from_entity_label,to_entity_start,to_entity_end,to_entity_name,to_entity_label,relation_type
"Butyrate Protects Mice Against Methionine-Choline-Deficient Diet-Induced Non-Alcoholic Steatohepatitis by Improving Gut Barrier Function, Attenuating Inflammation and Reducing Endotoxin Levels",17015028.0,2324,Fl9woHXjCv,Butyrate,0.0,8.0,Chemical,116.0,136.0,Gut Barrier Function,Cellline,improve
"Aromatic amino acids including tyrosine, tryptophan, and phenylalanine are metabolized into indole and phenols by certain intestinal anaerobic bacteria, such as Bacteroidetes, Lactobacillus, Bifidobacterium, Clostridium, and Peptostreptococcus. Tryptophan is decomposed into indole, indoleacetic acid, indole-3-lactic acid, 3-methylindole (skatole) and other indole compounds under the action of tryptophanase. Tryptophanase is the key enzyme that generates indole. The activity of the enzyme is easily induced by the substrate tryptophan, so when the amount of tryptophan changes in the colonic environment, the content of indole will fluctuate greatly. Of note, the metabolic products of aromatic amino acids generated by gut microbiota have a great impact on the pathology of cardiometabolic diseases. For example, indole propionic acid is associated with insulin sensitivity and appears to reduce the risk of diabetes. Moreover, the gut microbiota metabolizes dietary tryptophan to indoxyl, which further generates indoxyl sulfate through sulfonation. Excessive accumulation of indoxyl sulfate causes cardiomyocyte damage and increases thrombus formation. Another phenol compound, 4-methylphenol, can inhibit the differentiation of 3T3-L1 preadipocytes into mature adipocytes, induce apoptosis and reduce glucose uptake. In addition, benzoic acid is an aromatic carboxylic acid synthesized by colonic microorganisms by metabolizing dietary aromatic compounds. Plasma benzoic acid levels were found to be elevated in the rat model of polygenic diabetes.",17445219.0,1069,c48zeu-nW1,rat,1524.0,1527.0,Species,458.0,464.0,indole,Chemical,None
"It has been proven that risk factors for civilization diseases such as stroke and cardiovascular diseases are also associated with the diversity of the intestinal flora. The abovementioned factors comprise atherosclerosis and hypertension. Moreover, the dysregulation of microbiota was observed in patients with stroke together with increased plasma and urinary concentrations of the proatherosclerotic gut bacterial metabolite trimethylamine N-oxide (TMAO), also co-responsible for the development of cardiovascular diseases (atherosclerotic coronary artery disease among others), AD, and gestational diabetes. TMAO is produced from dietary phosphatidylcholine by the intestinal microbiota. Preclinical models of cerebral ischemia indicate the coexistence of pathological microflora which negatively affect intestinal permeability and motility. Some reported experimental results indicate the relationship of intestinal microbiota with neuroinflammatory processes by modulating intestinal T-cell trafficking to the CNS. Animal models of cerebral ischemia-reperfusion injury clearly pointed out the beneficial, neuroprotective effect of the administration of a probiotic containing the Clostridium butyricum bacterial strain on the prognosis of animals after a stroke.",16214272.0,1655,1654,phosphatidylcholine,642.0,661.0,Chemical,612.0,616.0,TMAO,Chemical,Associated_with
"The most significant characteristic of gut microbiota in hypertensive patients is the decrease in microbial diversity, richness and the uneven distribution. Researchers conducted 16S amplicon sequencing on fecal samples from patients with hypertension, and used Bayesian network analysis to find the relationship between blood pressure and the abundance of gut microbiota. The results showed that changes in blood pressure could affect bacterial abundance. Moreover, Nathalia Santos Magalhaes et al. reviewed the changes in gut microbiota in hypertensive patients, in which Klebsiella, Desulfovibrio and Prevotella increased, while Blautia, Butyrivibrio, Clostridium, Enterococcus, Faecalibacterium, Oscillibacter, Roseburia, Bifidobacterium, and Lactobacillus decreased.",18546284.0,2712,2715,Roseburia,715.0,724.0,Species,555.0,563.0,patients,Species,None
"Mechanically, current studies suggest that SCFAs may exert their functions through acting as energy substrates and maintaining metabolic integration by a variety of different downstream regulatory mechanisms, such as G-protein-coupled receptors (GPRs) with GPR41/Recombinant Free Fatty Acid Receptor (FFAR3), GPR43/FFAR2, GPR109A, Olfactory Receptors 78 (Olfr78) in endocrine cells of the gut wall, as well as histone deacetylases (HDACs) (Fig. 2). GPR41 regulates host energy acquisition and promotes the catabolism of glucose and lipids. The decreased SCFAs may cause less activated GPR41 and higher levels of energy uptake. In addition, it has also been reported that the lower production of SCFAs in gut microbiota would increase the host's capability of obtaining energy from the diet. SCFAs from bacterial fermentation promote the secretion of glucagon-like peptide 1 (GLP-1) and peptide YY (PYY) through GPR43 and GPR41 from intestinal L cells. GLP-1 increased pancreatic insulin secretion, and inhibited the production of glucagon. Deletion of GLP-1 abolished the beneficial effects of prebiotics on weight gain, glucose metabolism, and inflammatory pathway activation. Moreover, PYY increases satiety, reduces food intake, inhibits intestinal motility, and increases the intestinal transit rate.",18395273.0,693,699,SCFAs,43.0,48.0,Chemical,301.0,306.0,FFAR3,Gene,Interacts_with
"Besides, the gut microbiota can also produce H2S to participate in oxidation regulation, inflammation and other processes. It has been found that colon-derived H2S can lower blood pressure. RAS, in particular, is an essential mechanism in the pathogenesis of hypertension. H2S has been reported to inhibit the activity of renin by reducing the synthesis and release of renin, which has potential therapeutic value for renovascular hypertension. Moreover, H2S may reduce blood pressure by dilating peripheral blood vessels and reducing heart rate.",18549065.0,2893,2897,H2S,273.0,276.0,Chemical,418.0,443.0,renovascular hypertension,Disease,improve
"Multiple metabolites including SCFAs, BAs, and BCAAs, have been postulated to link the potential association between altered gut microbiota and T2D. Specific species such as Faecalibacterium prausnitzii have been observed to produce anti-inflammatory cytokines and chemokines, thus alleviating inflammation and increasing insulin sensitivity. And some intestinal bacteria from other genera have been reported to produce pro-inflammatory cytokines, which may increase the development of insulin resistance. In short, the dysbiosis of gut microbiota would lead to the damaged function of beta-cell and islet chronic inflammatory response by changing the component of SCFAs, BCAAs, and BAs, thereby affecting glucose and fat metabolism, eventually leading to the occurrence of diabetes.",18119457.0,1838,wq_Jbe4rEh,inflammation,294.0,306.0,Disease,352.0,371.0,intestinal bacteria,Species,None
"Mounting evidence has shown that patients with obesity have a change in the composition of the gut microbiota. In obesity, the increased gut microbiome included the phylum Molluskum of Firmicutes, Actinobacteria, as well as Firmicutes and Bacteroidetes ratios; the decreased gut microbiome included Akkermansia, Faecalibacterium, Oscillibacter, and Alistipes. More importantly, studies indicated that some types of microbes could be regarded as biomarkers for metabolism-related CVDs. For example, it has been reported that Dorea formicigenerans, Dorea longicatena and Collinsella aerofaciens are associated with obesity, and Lachnospiraceae is associated with lipid cardiovascular risk factors. Besides, Anaeroplasma and Haemophilus are negatively associated with cholesterol and triglycerides and positively associated with HDL. Patients with hyperlipidemia have a lower proportion of Anaeroplasma and Haemophilus in the gut. Moreover, the ratio of Firmicutes to Bacteroidetes was also positively associated with obesity.",18058702.0,1384,1396,obesity,114.0,121.0,Disease,299.0,310.0,Akkermansia,Species,decrease
"At present, it is generally believed that dysbiosis of the gut microbiota is an important factor affecting the integrity of the intestinal barrier. Previous studies showed that the dysbiosis of the gut microbiota could lead to the rapid proliferation of intestinal pathogenic bacteria, and the pro-inflammatory factors released by them seriously damaged the structure and function of the intestinal barrier, and it also promoted the occurrence and development of diseases in the digestive system as well as metabolic system. Furthermore, the dysbiosis of the gut microbiota triggers intestinal mucosal barrier damage, leading to inflammation and disordered nutrient metabolism. Overactivated inflammation caused by microbiota dysbiosis disrupts normal intestinal mucosal barrier function, and increases intestinal permeability to promote bacterial translocation, leading to endotoxemia and inflammation, thereby increasing the risk of CVDs.",16622110.0,748Loro7i2,243,microbiota dysbiosis,715.0,735.0,Disease,692.0,704.0,inflammation,Disease,causes
"During PD development, microbiota changes can be accompanied by reduced concentrations of branched-chain amino acids (BCAAs) and aromatic amino-acids in comparison with the healthy control group. It has been demonstrated that the alteration of the metabolites occurred, especially during disease progression. Experimental results indicate the correlation between PD and mitochondrial dysfunction. Additionally, the lower levels of BCAAs and aromatic amino acids have been observed in stool samples during this period in comparison with the healthy control group, indicating a dysbiosis state in the gut microbiota. Moreover, the PD-disrupted gut microbiome may negatively influence the level of methionine in human plasma.",16207438.0,thlF35i6Kh,1027,microbiota,23.0,33.0,Species,90.0,116.0,branched-chain amino acids,Chemical,Associated_with
"At present, it is generally believed that dysbiosis of the gut microbiota is an important factor affecting the integrity of the intestinal barrier. Previous studies showed that the dysbiosis of the gut microbiota could lead to the rapid proliferation of intestinal pathogenic bacteria, and the pro-inflammatory factors released by them seriously damaged the structure and function of the intestinal barrier, and it also promoted the occurrence and development of diseases in the digestive system as well as metabolic system. Furthermore, the dysbiosis of the gut microbiota triggers intestinal mucosal barrier damage, leading to inflammation and disordered nutrient metabolism. Overactivated inflammation caused by microbiota dysbiosis disrupts normal intestinal mucosal barrier function, and increases intestinal permeability to promote bacterial translocation, leading to endotoxemia and inflammation, thereby increasing the risk of CVDs.",16622110.0,bBtPgfvq3l,MGxlboVhxs,intestinal mucosal barrier damage,583.0,616.0,Disease,646.0,676.0,disordered nutrient metabolism,Disease,causes
"At the end of this chapter, it is worth mentioning the fact that the interaction between the microbiome and the host is bidirectional, and some metabolic changes, which could be a pathological result of disease progression, also influence microbiome metabolism. A good example is a disturbance in cholesterol homeostasis, which correlates with an augmented probability of Alzheimer's disease occurrence. In addition, alteration of the intestinal microbiota composition with the subsequent fluctuations in the serum and brain levels of bile acids (BAs) is involved in the development of AD. BAs can act as detergents, affecting BBB permeability, and incrementing brain influx of peripheral cholesterol and BAs. Therefore, proper cholesterol elimination pathways play a crucial role in AD prevention and treatment. The gut microbiome is a main ""organ"" metabolizing secondary bile acids. Peripheral cholesterol is eliminated mainly through its liver conversion to BAs. The gut microbiota performs BA transformation via deconjugation and dehydroxylation, leading to secondary BA formation. Nho et al. investigated the correlation between neurodegeneration and BAs, B-amyloid, and tau protein concentration. The application of targeted metabolomics enabled the determination of the association between intestinal microbiota-derived secondary bile acids and sera BAs. Interestingly, the analysis indicated an imbalanced BA ratio, underlying an increased amount of secondary BAs over primary ones. Another clinical study confirmed the correlation between bile acid metabolic profile and the prevalence of AD and mild cognitive impairment, showing similar BA ratio disruptions. Decreased cognitive functions were positively associated with increased concentrations of secondary bile acids such as deoxycholic acid, glycodeoxycholic acid, taurodeoxycholic acid, and glycolithocholic acid. The described results suggested the involvement of the pathological gut microbiota in AD development; however, still it requires more in-depth studies.",16559364.0,cCs8Ct5bvk,aVQscd_Aes,secondary bile acids,1327.0,1347.0,Chemical,1352.0,1360.0,sera BAs,Chemical,Associated_with
"It has been proven that risk factors for civilization diseases such as stroke and cardiovascular diseases are also associated with the diversity of the intestinal flora. The abovementioned factors comprise atherosclerosis and hypertension. Moreover, the dysregulation of microbiota was observed in patients with stroke together with increased plasma and urinary concentrations of the proatherosclerotic gut bacterial metabolite trimethylamine N-oxide (TMAO), also co-responsible for the development of cardiovascular diseases (atherosclerotic coronary artery disease among others), AD, and gestational diabetes. TMAO is produced from dietary phosphatidylcholine by the intestinal microbiota. Preclinical models of cerebral ischemia indicate the coexistence of pathological microflora which negatively affect intestinal permeability and motility. Some reported experimental results indicate the relationship of intestinal microbiota with neuroinflammatory processes by modulating intestinal T-cell trafficking to the CNS. Animal models of cerebral ischemia-reperfusion injury clearly pointed out the beneficial, neuroprotective effect of the administration of a probiotic containing the Clostridium butyricum bacterial strain on the prognosis of animals after a stroke.",16214272.0,1659,1657,hypertension,226.0,238.0,Disease,82.0,105.0,cardiovascular diseases,Disease,part_of
"In summary, the gut microbiota generates a series of bioactive metabolites to interact with host metabolism. These metabolites mainly include SCFAs, primary and secondary BAs, TMAO, and so on. Among these metabolites, some exert synergistic effects to promote host health by stimulating the parasympathetic nervous system to control glucose metabolism. For example, SCFAs interact with human hormones such as GLP-1 and PYY to effect energy uptake and the development of obesity. SCFAs are beneficial for regulating appetite and energy intake, and preventing the formation of atherosclerosis. Other metabolites, such as TMAO and phenylacetylglutamine (PAGln), may be toxic. For example, TMAO may be proatherogenic to promote the process of thrombosis and atherosclerosis, thereby increasing the risk of cardiovascular events. Patients with CVDs had lower levels of SCFA generation and higher levels of TMAO production due to the change in gut microbiota. Furthermore, TMAO causes vascular endothelial damage and promotes the production of atherosclerotic plaques. TMAO can also increase the release of intracellular calcium ions, enhance the reactivity of platelets, and increase the risk of thrombosis to increase CVDs susceptibility. Besides, PAGln enhances platelet reactivity and thrombosis, leading to CVDs. Taken together, mounting evidence suggests that changes in gut microbiota metabolites are part of the crucial mechanisms by which the gut microbiota regulates the occurrence and development of CVDs.",18055127.0,1152,1163,TMAO,686.0,690.0,Chemical,754.0,769.0,atherosclerosis,Disease,increase
The association between BAs and the risk of obesity,18107395.0,1540,1541,BAs,24.0,27.0,Chemical,44.0,51.0,obesity,Disease,Associated_with
"Alzheimer's disease (AD), commonly known as senile dementia, is a chronic, devastating, neurodegenerative, and neuroinflammatory disorder with rising incidence and is considered to be the most frequent form of dementia in aging individuals (caused by aberrant protein processing, trafficking, and aggregation in neural cells). The World Alzheimer Report indicates that 50 million people suffer from AD-related neurological problems and this number will increase to 152 million in 2050. It is predicted that in 2030 up to 66 million people will suffer from AD. AD is a multifactorial disease characterized by synapse loss, extracellular cerebral accumulation of insoluble peptides belonging to amyloid-beta (Abeta), the aggregation of hyperphosphorylated tau protein inside the cells, neurofibrillary mass formation, neuronal death (in the neocortex and hippocampus), progressive memory deterioration, and cognition decline leading to dementia. AD is associated with more than 700 genetic and environmental risk factors. From the genetic point of view, one of the most important risk factors related to AD development is the incidence of a ""4 allele variant in the apolipoprotein"" (APOE4) gene, which is associated with cholesterol transport in CNS, and also contributes to metabolomic and taxonomic changes in the microbiome.",16422307.0,JQGUVVRpe_,391,insoluble peptides,661.0,679.0,Species,693.0,705.0,amyloid-beta,Species,part_of
"Additionally, other commensal bacteria such as Escherichia coli, Lactobacillus, Streptococcus, Helicobacter pylori, segmented filamentous Bacteria, and enterotoxigenic B. fragilis are called pathobionts. They make up about 70% of the total gut microbiota and interact with the host to regulate the immune response. They are harmless under physical conditions, and have a potential pathogenic influence on the host following changes in the environment. However, in the case of immune dysfunction and other pathological conditions, these pathobionts can greatly proliferate in a short time period, or translocate from the intestine to other parts of the body to be pathogenic.",16619372.0,155,161,immune dysfunction,476.0,494.0,Disease,80.0,93.0,Streptococcus,Species,affects
"Contrarily, as a positive example, balanced diets (i.e., Mediterranean diet and Dietary Approaches to Stop Hypertension) can be mentioned. Diets abundant in natural compounds with anti-inflammatory activity, antioxidants, polyunsaturated fatty acids, and plant-origin nutrients (proteins, polyphenols, vitamins, and fibers), together with reduced caloric intake, such as the Mediterranean diet, are correlated with a lower risk of dementia, decrease age-related cognitive deterioration, and the risk of neurodegeneration occurrence. Moreover, the Mediterranean diet increases the amount of gut Bifidobacterium and Lactobacillus and reduces malignant bacteria belonging to Clostridium and Bacteroides, thereby improving memory and cognitive processes in healthy females after menopause and disorder patients. Additionally, following such a diet significantly reduces amyloid aggregation and therefore the frequency of amyloid-related diseases in the aging population. There are scientific reports that he gut dysfunction is related to the inflammation of the CNS, which can especially be observed in Parkinson's disease patients, where dysregulation of the gut-brain axis was observed in 80% of patients.",16215537.0,3-r7JryO1W,r06sPdn-Nr, vitamins,301.0,310.0,Chemical,255.0,277.0,plant-origin nutrients,Chemical,part_of
"Mechanically, current studies suggest that SCFAs may exert their functions through acting as energy substrates and maintaining metabolic integration by a variety of different downstream regulatory mechanisms, such as G-protein-coupled receptors (GPRs) with GPR41/Recombinant Free Fatty Acid Receptor (FFAR3), GPR43/FFAR2, GPR109A, Olfactory Receptors 78 (Olfr78) in endocrine cells of the gut wall, as well as histone deacetylases (HDACs) (Fig. 2). GPR41 regulates host energy acquisition and promotes the catabolism of glucose and lipids. The decreased SCFAs may cause less activated GPR41 and higher levels of energy uptake. In addition, it has also been reported that the lower production of SCFAs in gut microbiota would increase the host's capability of obtaining energy from the diet. SCFAs from bacterial fermentation promote the secretion of glucagon-like peptide 1 (GLP-1) and peptide YY (PYY) through GPR43 and GPR41 from intestinal L cells. GLP-1 increased pancreatic insulin secretion, and inhibited the production of glucagon. Deletion of GLP-1 abolished the beneficial effects of prebiotics on weight gain, glucose metabolism, and inflammatory pathway activation. Moreover, PYY increases satiety, reduces food intake, inhibits intestinal motility, and increases the intestinal transit rate.",18395273.0,1dz12Qajtc,706,SCFA,791.0,795.0,Chemical,850.0,873.0,glucagon-like peptide 1,Gene,increase
"In addition, the abundance of gut microbiota is associated with salt sensitivity in hypertension. It was reported that moderate high salt stimulation reduced the survival of Lactobacillus in the intestine and increased TH17 cells, which could lead to an increase in blood pressure. Besides, gut microbiota has been found to promote angiotensin II-induced hypertension by supporting monocyte chemoattractant protein 1/IL-17 driven vascular immune cell infiltration and inflammation. Therefore, the dysbiosis of gut microbiota may have an impact on the development of hypertension.",18546492.0,2737,W6f4Pnr-1M,hypertension,84.0,96.0,Disease,30.0,44.0,gut microbiota,Species,affects
